id,Nome,Campus_id,Universidade_id,Turno,Modalidade
1,Administração,1,1,diurno,
2,Administração,1,1,noturno,
3,Administração,9,1,,
4,Agronomia,2,1,,
5,Arquitetura e Urbanismo,1,1,,
6,Biblioteconomia,1,1,,
7,Biotecnologia,2,1,,
8,Ciência da Computação,6,1,,
9,Ciência da Computação,2,1,,
10,Ciência da Computação,5,1,,
11,Ciência da Computação,7,1,,
12,Ciências Ambientais,8,1,,
13,Ciências Atuariais,1,1,,
14,Ciências Biológicas,2,1,,bacharelado e licenciatura
15,Ciências Contábeis,1,1,diurno,
16,Ciências Contábeis,1,1,noturno,
17,Ciências Econômicas,1,1,diurno,
18,Ciências Econômicas,1,1,noturno,
19,Ciências Econômicas,4,1,noturno,
20,Ciências Sociais,1,1,diurno,bacharelado e licenciatura
21,Ciências Sociais,1,1,noturno,bacharelado e licenciatura
22,Cinema e Audiovisual,2,1,,
23,Comunicação Social,2,1,,
24,Dança,2,1,,bacharelado
25,Dança,2,1,,licenciatura
26,Design,1,1,,
27,Design,2,1,,
28,Design Digital,5,1,,
29,Direito,1,1,integral,
30,Economia,2,1,,
31,Economia,2,1,,
32,Educação Física,2,1,diurno,bacharelado e licenciatura
33,Educação Física,1,noturno,bacharelado e licenciatura
34,Enfermagem,3,1,,
35,Engenharia Ambiental,2,1,,
36,Engenharia Ambiental e Sanitária,6,1,,
37,Engenharia Civil,6,1,,
38,Engenharia Civil,2,1,,
39,Engenharia Civil,7,1,,
40,Engenharia da Computação,4,1,integral,
41,Engenharia de Alimentos,2,1,,
42,Engenharia de Computação,2,1,,
43,Engenharia de Computação,5,1,,
44,Engenharia de Energias Renováveis,2,1,,
45,Engenharia de Minas,6,1,,
46,Engenharia de Pesca,2,1,,
47,Engenharia de Petróleo,2,1,,
48,Engenharia de Produção,7,1,,
49,Engenharia de Produção Mecânica,2,1,,
50,Engenharia de Software,5,1,,
51,Engenharia de Software,7,1,,
52,Engenharia de Telecomunicações,2,1,,
53,Engenharia de Teleinformática,2,1,,
54,Engenharia Elétrica,2,1,,
55,Engenharia Elétrica,4,1,integral,
56,Engenharia Mecânica,2,1,,
57,Engenharia Mecânica,7,1,,
58,Engenharia Metalúrgica,2,1,,
59,Engenharia Química,2,1,,
60,Estatística,2,1,,
61,Farmácia,3,1,,
62,Filosofia,2,1,,
63,Finanças,1,1,,
64,Finanças,4,1,noturno,
65,Física,9,1,,
66,Física,2,1,,
67,Física,2,1,,
68,Fisioterapia,3,1,,
69,Gastronomia,2,1,,
70,Geografia,2,1,,bacharelado e licenciatura
71,Geologia,2,1,,
72,Gestão de Políticas Públicas,2,1,,
73,História,1,1,,
74,Jornalismo,1,1,,
75,Letras – Espanhol,1,1,noturno,
76,Letras,1,1,,
77,Letras – Inglês,1,1,noturno,
78,Letras – Libras,1,1,,
79,Letras Espanhol,9,1,,
80,Letras Inglês,9,1,,
81,Letras Português,9,1,,
82,"Licenciatura Intercultural Indígena das Etnias Pitaguary, Tapeba, Kanindé de Aratuba, Jenipapo-Kanindé e Anacé – LII PITAKAJÁ",1,1,,
83,Licenciatura Intercultural Indígena Kuaba,1,1,,
84,Matemática,2,1,,bacharelado
85,Matemática,2,1,,licenciatura
86,Matemática,9,1,,
87,Matemática Industrial,2,1,,
88,Medicina,3,1,,
89,Medicina,4,1,integral,
90,Música,2,1,,
91,Música,4,1,noturno,
92,Oceanografia,8,1,,
93,Odontologia,3,1,,
94,Odontologia,4,1,,
95,Pedagogia,1,1,diurno,
96,Pedagogia,9,1,,
97,Pedagogia,1,1,noturno,
98,Pedagogia – PARFOR,1,1,,
99,Psicologia,1,1,,
100,Psicologia,4,1,integral,
101,Química,2,1,,bacharelado
102,Química,2,1,,licenciatura
103,Química,9,1,,
104,Redes de Computadores,5,1,,
105,Secretariado Executivo,1,1,,
106,Sistemas de Informação,6,1,,
107,Sistemas de Informação,5,1,,
108,Sistemas e Mídias Digitais,2,1,diurno,
109,Sistemas e Mídias Digitais,2,1,noturno,
110,Teatro,2,1,,
111,Tecnologia em Gestão de Qualidade,1,1,,
112,Zootecnia,2,1,,
